target_file,original_relative_path,dataset,kind,manuscript_block,rows_excluding_header,column_count,columns,sha256
raw_records/ExpA_Scalability_raw.csv,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,ExpA_scalability,raw_csv,Scalability and interleaving evidence; Fig. scalability panels,1000.0,15.0,source_file;instance_index;instance_id;config;run_seed;status;n_tasks;L;mode;time_total;palns_obj;final_obj;ship_time;drone_time;intensify_ran,592b67dcdfe9a0ac508566a7a2c8c21d5b02460b28f9d230b896fd23ae83a4a3
raw_records/ExpA_Scalability_summary.csv,DROBaseline/artifacts/summary_tables/ExpA_Scalability_summary.csv,ExpA_scalability_summary,summary_csv,Scalability and interleaving evidence; Fig. scalability panels,20.0,5.0,config;n_tasks;count;mean_obj;mean_time,ebfedb1c9c240503558252b8cfe9f30a829b8eb5f1931b37ba2cfd1d523afba7
raw_records/ExpB_Ablation_raw.csv,DROBaseline/artifacts/summary_tables/ExpB_Ablation_raw.csv,ExpB_ablation,raw_csv,Medium-scale ablation and planned-cost premium tables,500.0,15.0,source_file;instance_index;instance_id;config;run_seed;status;n_tasks;L;mode;time_total;palns_obj;final_obj;ship_time;drone_time;intensify_ran,6d51bd8ae902fd5aa3a136f62355cba390fb81c4ac7af90ceca5523c72115995
raw_records/ExpB_Ablation_summary.csv,DROBaseline/artifacts/summary_tables/ExpB_Ablation_summary.csv,ExpB_ablation_summary,summary_csv,Medium-scale ablation and planned-cost premium tables,5.0,5.0,config;n_tasks;count;mean_obj;mean_time,b2a67f4d393f68612bc91cf9dd922b89ea30a5f5d75d38eaeb98ef9cabcc62c1
raw_records/ExpD_Reliability_raw_corr00.csv,DROBaseline/artifacts/results/Final_Results_Beta_Sigma0.15_tol1e-6/run_corr00/ExpD_Evidence_raw_corr00.csv,ExpD_reliability_corr00,raw_csv,Out-of-sample reliability simulation sweep,60.0,47.0,source_file;instance_index;instance_id;config;run_seed;status;n_tasks;L;mode;time_total;palns_obj;final_obj;ship_time;drone_time;intensify_ran;subexp;total_time_budget;palns_share;palns_time_limit;intensify_time_limit;dro_enabled;eps_sortie;hat_out;hat_in;dro_clipped_out;dro_clipped_in;mc_samples;mc_seed;mc_dist;mc_corr;mc_time;mc_infeasible_rate;mc_obj_mean;mc_obj_p90;mc_obj_p95;mc_makespan_mean;mc_makespan_p90;mc_makespan_p95;mc_drone_time_mean;mc_drone_time_p90;mc_drone_time_p95;cert_time;cert_lb;cert_ub;cert_gap;cert_cuts;heur_gap_to_lb,b8250b812026638ec698adf97a15d42138b8d818e3ac840de9b97556c7f31c2a
raw_records/ExpD_Reliability_summary_corr00.csv,DROBaseline/artifacts/results/Final_Results_Beta_Sigma0.15_tol1e-6/run_corr00/ExpD_Evidence_summary_corr00.csv,ExpD_reliability_summary_corr00,summary_csv,Out-of-sample reliability simulation sweep,4.0,14.0,subexp;config;n_tasks;count;mean_obj;mean_time;std_obj;std_time;mean_mc_infeasible_rate;std_mc_infeasible_rate;mean_cert_gap;std_cert_gap;mean_heur_gap_to_lb;std_heur_gap_to_lb,93189697e04a1212fb94c8be590d443edce11ab74b482028026d067f7960cc0a
raw_records/ExpD_Reliability_manifest_corr00.json,DROBaseline/artifacts/results/Final_Results_Beta_Sigma0.15_tol1e-6/run_corr00/manifest.json,ExpD_reliability_manifest_corr00,run_manifest_json,Out-of-sample reliability simulation sweep,,,,8975d3921566f4892122351cda635e13df8baec1267ad5b268154e7d7d1b9fc5
raw_records/ExpD_Reliability_raw_corr03.csv,DROBaseline/artifacts/results/Final_Results_Beta_Sigma0.15_tol1e-6/run_corr03/ExpD_Evidence_raw_corr03.csv,ExpD_reliability_corr03,raw_csv,Out-of-sample reliability simulation sweep,60.0,47.0,source_file;instance_index;instance_id;config;run_seed;status;n_tasks;L;mode;time_total;palns_obj;final_obj;ship_time;drone_time;intensify_ran;subexp;total_time_budget;palns_share;palns_time_limit;intensify_time_limit;dro_enabled;eps_sortie;hat_out;hat_in;dro_clipped_out;dro_clipped_in;mc_samples;mc_seed;mc_dist;mc_corr;mc_time;mc_infeasible_rate;mc_obj_mean;mc_obj_p90;mc_obj_p95;mc_makespan_mean;mc_makespan_p90;mc_makespan_p95;mc_drone_time_mean;mc_drone_time_p90;mc_drone_time_p95;cert_time;cert_lb;cert_ub;cert_gap;cert_cuts;heur_gap_to_lb,fa4a5c781108c94e8f910c5905796b8e30e6b62bc2bad9e589c81ad2c90bbe4e
raw_records/ExpD_Reliability_summary_corr03.csv,DROBaseline/artifacts/results/Final_Results_Beta_Sigma0.15_tol1e-6/run_corr03/ExpD_Evidence_summary_corr03.csv,ExpD_reliability_summary_corr03,summary_csv,Out-of-sample reliability simulation sweep,4.0,14.0,subexp;config;n_tasks;count;mean_obj;mean_time;std_obj;std_time;mean_mc_infeasible_rate;std_mc_infeasible_rate;mean_cert_gap;std_cert_gap;mean_heur_gap_to_lb;std_heur_gap_to_lb,3b3ac45acfa793b404dec698979ade8c1fe96acdbefc702fff8f0caabecc5983
raw_records/ExpD_Reliability_manifest_corr03.json,DROBaseline/artifacts/results/Final_Results_Beta_Sigma0.15_tol1e-6/run_corr03/manifest.json,ExpD_reliability_manifest_corr03,run_manifest_json,Out-of-sample reliability simulation sweep,,,,a9bde0fb2afb9340f2841c79737209a1cb7969924298fb6c68613e15a074c1a4
